"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"727",727,"Sarkar 3","The third film in Ram Gopal Varma's Sarkar trilogy, which chronicles the exploits of a powerful political figure.",130,"Crime",4.8,1221,"Ram Gopal Varma","Amitabh Bachchan",NA,0
"728",728,"Es por tu bien","Three brothers-in-law try that their three teenage daughters split from her undesirable boyfriends.",93,"Comedy",5.5,753,"Carlos Ther<U+00F3>n","Javier C<U+00E1>mara",NA,0
"729",729,"Axis","On the morning he is set to star in a career-changing blockbuster film, an Irish actor trying to live down his rocky past confronts a series of devastating events that threaten his sobriety.",85,"Drama",6.7,32,"Aisha Tyler","Emily Bett Rickards",NA,0
"730",730,"Dark Ascension",NA,112,"Action",NA,NA,"Gene Fallaize","Sean Young",NA,0
"731",731,"Krotkaya","A woman lives in a small village in Russia. One day she receives the parcel she sent to her husband, serving a sentence in prison. Confused and angered, she sets out to find why her package was returned to sender.",143,"Drama",7.3,366,"Sergei Loznitsa","Valeriu Andriut<U+00E3>",82,0
"732",732,"Dead Shack","While staying at a run-down cabin in the woods during the weekend, three children must save their parents from the neighbor who intends to feed them to her un-dead family.",85,"Horror",6.7,99,"Peter Ricq","Cameron Andres",NA,0
"733",733,"Picture of Beauty","In an early 20th century village, a painter with an unusual commission finds two pretty girls two model for him. The girls slowly come of age while exploring their sexuality and finding liberation in a repressed society.",70,"Drama",4.7,97,"Maxim Ford","Taylor Sands",NA,0
"734",734,"Amelia 2.0","When the husband of a dying woman is approached by a corporation pioneering a new program to extend life through robotics, they get caught in a public debate over human's relationship with technology.",89,"Drama",5.1,403,"Adam Orton","Kate Vernon",NA,0
"735",735,"Die g<U+00F6>ttliche Ordnung","Switzerland, 1971: Nora is a young housewife and mother who lives with her husband and their two sons in a peaceful little village. Here, in the Swiss countryside, little or nothing is felt...                See full summary<U+00A0><U+00BB>",96,"Drama",7.5,339,"Petra Biondina Volpe","Marie Leuenberger",NA,0
"736",736,"Small Town Crime","An alcoholic ex-cop (Hawkes) finds the body of a young woman and, through an act of self-redemption, becomes hell-bent on finding the killer but unwittingly puts his family in danger and ...                See full summary<U+00A0><U+00BB>",91,"Thriller",7.4,103,"Eshom Nelms","John Hawkes",NA,0
"737",737,"Anon",NA,NA,"Sci-Fi",NA,NA,"Andrew Niccol","Clive Owen",NA,0
"738",738,"Something Like Summer","Something Like Summer traces the tumultuous relationship of Ben and Tim, secret high school sweethearts who grow over the years into both adulthood enemies and complicated friends.",115,"Drama",6,243,"David Berry","Grant Davis",NA,0
"739",739,"A Prayer Before Dawn","Based on the true life experience of Billy Moore who survived his Thai prison ordeal by becoming a Muay Thai boxing champion.",116,"Action",7.5,121,"Jean-St<U+00E9>phane Sauvaire","Joe Cole",NA,0
"740",740,"Rangoon","A love triangle forms against the backdrop of the Second World War.",170,"Action",5.8,2559,"Vishal Bhardwaj","Kangana Ranaut",NA,0
"741",741,"Du forsvinder","A teachers' world is turned upside down when her husband, a successful headmaster, is caught embezzling from their own school. Did he do this of his own free will - or has his personality been altered by the tumor lurking in his brain? As the teacher is assisting an attorney in providing a legal defense, recent neuroscience forces her to rethink who her husband really is.",117,"Drama",5.8,241,"Peter Sch<U+00F8>nau Fog","Trine Dyrholm",NA,0
"742",742,"Charming","Three fairy tale princesses find themselves engaged to the same guy, Prince Charming.",NA,"Animation",8.5,24,"Ross Venokur","Demi Lovato",NA,0
"743",743,"Punjab Nahi Jaungi","Mehtab Khagga and his family have had generation old ties of love and friendship with Bebojee and her family despite them belonging to 2 different worlds. Fawad Khagga, grandson of Mehtab ...                See full summary<U+00A0><U+00BB>",159,"Comedy",8.4,904,"Nadeem Beyg","Humayun Saeed",NA,0
"744",744,"Coin Heist","United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.",97,"Action",4.8,1467,"Emily Hagins","Alex Saxon",NA,0
"745",745,"Matilda","In the twilight of Imperial Russia, prima ballerina Matilda Kshesinskaya becomes the mistress of three Grand Dukes.",NA,"Biography",6.4,17,"Aleksey Uchitel","Michalina Olszanska",NA,0
"746",746,"Jupiter holdja","Aryan is a Syrian refugee trying to make his way into Hungary from Serbia, along with his father and many other wretched souls. They are all caught, and find themselves in a web of cynicism and corruption.",123,"Drama",6.5,579,"Korn<U+00E9>l Mundrucz<U+00F3>","Merab Ninidze",56,0
"747",747,"Askeladden - I Dovregubbens hall","Espen ""Ash Lad"", a poor farmer's son, embarks on a dangerous quest with his brothers to save the princess from a vile troll known as the Mountain King - in order to collect a reward and save his family's farm from ruin.",104,"Adventure",6.5,125,"Mikkel Br<U+00E6>nne Sandemose","Vebj<U+00F8>rn Enger",NA,0
"748",748,"Rogue Warrior: Robot Fighter","ROGUE WARRIOR: ROBOT FIGHTER is a Science Fiction film set in the distant future depicting the overthrow of humanity by artificial intelligence on Earth and other worlds.",101,"Action",6.3,1141,"Neil Johnson","Tracey Birdsall",NA,0
"749",749,"S.M.A.R.T. Chase","A washed-up private security agent has to escort a valuable Chinese antique out of Shanghai but is ambushed en route.",95,"Action",6.5,23,"Charles Martin","Orlando Bloom",NA,0
