"","ranking","title","desc","runtime","genre","rating","vote","director","actor","metascore","revenue"
"40",40,"Overdrive","Two car thief brothers, who journey to the south of France for new opportunities, wind up in the cross hairs of the local crime boss.",93,"Action",5.3,2783,"Antonio Negret","Ana de Armas",NA,0
"41",41,"Murder on the Orient Express",NA,NA,"Crime",NA,NA,"Kenneth Branagh","Daisy Ridley",NA,0
"42",42,"The LEGO Ninjago Movie","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",101,"Animation",6.1,4459,"Charlie Bean","Jackie Chan",55,0
"43",43,"Home Again","Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.",97,"Comedy",5.7,3019,"Hallie Meyers-Shyer","Reese Witherspoon",41,0
"44",44,"Jeepers Creepers 3","Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monsters eating spree.",100,"Horror",6,1080,"Victor Salva","Meg Foster",NA,0
"45",45,"Alien: Covenant","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",122,"Horror",6.5,163572,"Ridley Scott","Michael Fassbender",65,74.24
"46",46,"The Beguiled","The unexpected arrival of a wounded Union soldier at a girls' school in Virginia during the American Civil War leads to jealousy and betrayal.",93,"Drama",6.6,17685,"Sofia Coppola","Nicole Kidman",77,10.58
"47",47,"The Mummy","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",110,"Action",5.5,101073,"Alex Kurtzman","Tom Cruise",34,80.1
"48",48,"Victoria and Abdul","Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.",111,"Biography",6.9,3563,"Stephen Frears","Judi Dench",57,0
"49",49,"The Big Sick","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",120,"Comedy",7.7,37561,"Michael Showalter","Kumail Nanjiani",86,38.15
"50",50,"Goodbye Christopher Robin","A behind-the-scenes look at the life of author A.A. Milne and the creation of the Winnie the Pooh stories inspired by his son C.R. Milne.",107,"Biography",7.2,913,"Simon Curtis","Domhnall Gleeson",54,0
"51",51,"The Hitman's Bodyguard","The world's top bodyguard gets a new client, a hit man who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.",118,"Action",7,69976,"Patrick Hughes","Ryan Reynolds",47,21.38
"52",52,"Amityville: The Awakening","A single mother moves her three children into a haunted house, unaware of its bloody history.",85,"Horror",5,3052,"Franck Khalfoun","Jennifer Jason Leigh",NA,0
"53",53,"Breathe","The inspiring true love story of Robin and Diana Cavendish, an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks the directorial debut of Andy Serkis.",117,"Biography",6.5,368,"Andy Serkis","Andrew Garfield",45,0
"54",54,"xXx: Return of Xander Cage","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",107,"Action",5.2,60474,"D.J. Caruso","Vin Diesel",42,44.9
"55",55,"Marshall","About a young Thurgood Marshall, the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.",118,"Biography",6.8,563,"Reginald Hudlin","Chadwick Boseman",66,0
